Algorithm,InputSize,Run,Time(μs),Energy(J)
bubble,20,212,3,0.0053
bubble,20,213,3,0.0039
bubble,20,214,3,0.0055
bubble,20,215,3,0.0039
bubble,20,216,3,0.0016
bubble,20,217,3,0.0045
bubble,20,218,3,0.0042
bubble,20,219,3,0.0071
bubble,20,220,3,0.0033
bubble,20,221,3,0.0029
bubble,20,222,3,0.0061
bubble,20,223,3,0.0052
bubble,20,224,3,0.0063
bubble,20,225,3,0.0049
bubble,20,226,3,0.0065
bubble,20,227,2,0.0043
bubble,20,228,4,0.0075
bubble,20,229,3,0.0020
bubble,20,230,3,0.0048
bubble,20,231,3,0.0074
bubble,20,232,3,0.0041
bubble,20,233,3,0.0064
bubble,20,234,8,0.0174
bubble,20,235,3,0.0053
bubble,20,236,3,0.0024
bubble,20,237,3,0.0064
bubble,20,238,3,0.0050
bubble,20,239,3,0.0026
bubble,20,240,3,0.0027
bubble,20,241,3,0.0049
bubble,20,242,3,0.0015
bubble,20,243,3,0.0046
bubble,20,244,3,0.0032
bubble,20,245,3,0.0068
bubble,20,246,3,0.0028
bubble,20,247,3,0.0031
bubble,20,248,5,0.0087
bubble,20,249,3,0.0019
bubble,20,250,3,0.0057
bubble,20,251,3,0.0063
bubble,20,252,3,0.0065
bubble,20,253,3,0.0072
bubble,20,254,3,0.0057
bubble,20,255,3,0.0055
bubble,20,256,4,0.0039
bubble,20,257,3,0.0042
bubble,20,258,3,0.0031
bubble,20,259,3,0.0032
bubble,20,260,3,0.0057
bubble,20,261,3,0.0023
bubble,20,262,3,0.0023
bubble,20,263,3,0.0067
bubble,20,264,3,0.0027
bubble,20,265,3,0.0051
bubble,20,266,3,0.0042
bubble,20,267,12,0.0097
bubble,20,268,3,0.0066
bubble,20,269,3,0.0029
bubble,20,270,3,0.0065
bubble,20,271,2,0.0026
bubble,20,272,3,0.0070
bubble,20,273,3,0.0023
bubble,20,274,3,0.0070
bubble,20,275,3,0.0021
bubble,20,276,3,0.0029
bubble,20,277,3,0.0034
bubble,20,278,3,0.0058
bubble,20,279,3,0.0032
bubble,20,280,3,0.0054
bubble,20,281,3,0.0074
bubble,20,282,3,0.0023
bubble,20,283,3,0.0023
bubble,20,284,3,0.0018
bubble,20,285,3,0.0042
bubble,20,286,3,0.0045
bubble,20,287,4,0.0036
bubble,20,288,3,0.0070
bubble,20,289,3,0.0060
bubble,20,290,3,0.0027
bubble,20,291,3,0.0031
bubble,20,292,3,0.0059
bubble,20,293,3,0.0042
bubble,20,294,2,0.0047
bubble,20,295,3,0.0067
bubble,20,296,3,0.0068
bubble,20,297,3,0.0047
bubble,20,298,3,0.0033
bubble,20,299,3,0.0063
bubble,20,300,3,0.0068
bubble,20,301,3,0.0019
bubble,20,302,3,0.0032
bubble,20,303,3,0.0046
bubble,20,304,3,0.0026
bubble,20,305,3,0.0067
bubble,20,306,3,0.0063
bubble,20,307,3,0.0025
bubble,20,308,3,0.0059
bubble,20,309,3,0.0063
bubble,20,310,3,0.0021
bubble,20,311,3,0.0035
bubble,20,312,3,0.0067
bubble,20,313,3,0.0035
bubble,20,314,3,0.0034
bubble,20,315,3,0.0042
bubble,20,316,3,0.0062
bubble,20,317,3,0.0037
bubble,20,318,3,0.0045
bubble,20,319,3,0.0038
bubble,20,320,3,0.0045
bubble,20,321,3,0.0043
bubble,20,322,3,0.0019
bubble,20,323,3,0.0068
bubble,20,324,3,0.0020
bubble,20,325,5,0.0081
bubble,20,326,15,0.0303
bubble,20,327,3,0.0032
bubble,20,328,3,0.0043
bubble,20,329,13,0.0170
bubble,20,330,5,0.0085
bubble,20,331,4,0.0043
bubble,20,332,4,0.0100
bubble,20,333,4,0.0087
bubble,20,334,4,0.0028
bubble,20,335,6,0.0106
bubble,20,336,4,0.0094
bubble,20,337,3,0.0034
bubble,20,338,3,0.0043
bubble,20,339,2,0.0011
bubble,20,340,3,0.0034
bubble,20,341,2,0.0013
bubble,20,342,3,0.0053
bubble,20,343,2,0.0016
bubble,20,344,2,0.0024
bubble,20,345,3,0.0039
bubble,20,346,2,0.0028
bubble,20,347,3,0.0064
bubble,20,348,3,0.0047
bubble,20,349,3,0.0028
bubble,20,350,2,0.0014
bubble,20,351,2,0.0042
bubble,20,352,2,0.0019
bubble,20,353,3,0.0027
bubble,20,354,2,0.0040
